id,Country
1,Denmark
2,Turkey
3,Kazakhstan
4,China
5,Spain
6,Germany
7,Nigeria
8,Iran
9,Russia
10,Canada
11,Cote d'Ivoire
12,United Kingdom
13,Saudi Arabia
14,Japan
15,United States
16,India
17,Benin
18,United Arab Emirates
19,Mexico
20,Venezuela
21,Ghana
22,Ethiopia
23,Australia
24,Yemen
25,Indonesia
26,Morocco
27,Pakistan
28,France
29,Libya
30,Burma
31,Brazil
32,South Africa
33,Syria
34,Egypt
35,Algeria
36,Netherlands
37,Malaysia
38,Portugal
39,Ecuador
40,Italy
41,Uzbekistan
42,Philippines
43,Madagascar
44,Chile
45,Belgium
46,El Salvador
47,Romania
48,Peru
49,Colombia
50,Tanzania
51,Tunisia
52,Turkmenistan
53,Israel
54,Eritrea
55,Paraguay
56,Greece
57,New Zealand
58,Vietnam
59,Cameroon
60,Iraq
61,Afghanistan
62,Argentina
63,Azerbaijan
64,Moldova
65,Mali
66,Congo (Democratic Republic Of The)
67,Thailand
68,Central African Republic
69,Bosnia And Herzegovina
70,Bangladesh
71,Switzerland
72,Equatorial Guinea
73,Cuba
74,Lebanon
75,Mozambique
76,Serbia
77,Angola
78,Somalia
79,Norway
80,Nepal
81,Poland
82,Ukraine
83,Guinea Bissau
84,Malawi
85,Burkina Faso
